cpu_percent,process_count,ram_percent,scenario,source_tag,timestamp,cpu_percent_lag1,cpu_percent_lag2,cpu_percent_delta1,cpu_percent_roll_mean_3,cpu_percent_roll_std_3,cpu_percent_roll_mean_5,cpu_percent_roll_std_5,ram_percent_lag1,ram_percent_lag2,ram_percent_delta1,ram_percent_roll_mean_3,ram_percent_roll_std_3,ram_percent_roll_mean_5,ram_percent_roll_std_5,process_count_lag1,process_count_lag2,process_count_delta1,process_count_roll_mean_3,process_count_roll_std_3,process_count_roll_mean_5,process_count_roll_std_5,spike
8.3,320,51.5,idle,local_psutil,2026-04-02 02:09:33,12.6,8.2,-4.299999999999999,9.700000000000001,2.5119713374160946,8.5,2.4289915602982233,51.5,51.2,0.0,51.4,0.17320508075764923,68.52000000000001,23.44327195593653,322.0,322.0,-2.0,321.3333333333333,1.1547005383784557,345.2,32.6986238242529,0
8.3,322,51.3,idle,local_psutil,2026-04-02 02:09:36,8.3,12.6,0.0,9.733333333333334,2.4826061575153906,8.88,2.1510462570572484,51.5,51.5,-0.20000000000000284,51.43333333333334,0.115470053839072,59.98,19.241803449780907,320.0,322.0,2.0,321.3333333333333,1.1547005383784557,333.2,26.176325181354223,0
9.2,320,51.3,idle,local_psutil,2026-04-02 02:09:39,8.3,8.3,0.8999999999999986,8.6,0.5196152422706606,9.32,1.8780308836651212,51.3,51.5,0.0,51.36666666666667,0.11547005383906842,51.36,0.13416407865220958,322.0,320.0,-2.0,320.6666666666667,1.1547005383784557,321.2,1.0954451150098632,0
8.1,320,51.3,idle,local_psutil,2026-04-02 02:09:42,9.2,8.3,-1.0999999999999996,8.533333333333333,0.5859465277082296,9.3,1.893409622876148,51.3,51.3,0.0,51.3,0.0,51.379999999999995,0.1095445115037536,320.0,322.0,0.0,320.6666666666667,1.1547005383784557,320.8,1.0954451150098632,0
9.0,322,51.2,idle,local_psutil,2026-04-02 02:09:46,8.1,9.2,0.9000000000000004,8.766666666666666,0.5859465277082302,8.580000000000002,0.48682645778552186,51.3,51.3,-0.09999999999999432,51.26666666666667,0.057735026921227145,51.32000000000001,0.10954451150376553,320.0,320.0,2.0,320.6666666666667,1.1547005383784557,320.8,1.0954451150098632,0
6.8,322,51.3,idle,local_psutil,2026-04-02 02:09:49,9.0,8.1,-2.2,7.966666666666668,1.1060440015358026,8.28,0.9471008394041258,51.2,51.3,0.09999999999999432,51.26666666666667,0.057735026921227145,51.279999999999994,0.04472135955671228,322.0,320.0,0.0,321.3333333333333,1.1547005383784557,321.2,1.0954451150098632,0
8.2,320,51.2,idle,local_psutil,2026-04-02 02:09:52,6.8,9.0,1.3999999999999995,8.0,1.113552872566003,8.26,0.9476286192385706,51.3,51.2,-0.09999999999999432,51.23333333333333,0.05773502692121997,51.260000000000005,0.05477225575600954,322.0,322.0,-2.0,321.3333333333333,1.1547005383784557,320.8,1.0954451150098632,0
5.7,320,51.1,idle,local_psutil,2026-04-02 02:09:55,8.2,6.8,-2.499999999999999,6.8999999999999995,1.252996408614164,7.56,1.3049904214207868,51.2,51.3,-0.10000000000000142,51.199999999999996,0.10000000000129715,51.21999999999999,0.0836660026570161,320.0,322.0,0.0,320.6666666666667,1.1547005383784557,320.8,1.0954451150098632,0
5.7,320,51.0,idle,local_psutil,2026-04-02 02:09:58,5.7,8.2,0.0,6.533333333333334,1.4433756729740612,7.08,1.4855975228843121,51.1,51.2,-0.10000000000000142,51.1,0.10000000000128205,51.160000000000004,0.11401754251257479,320.0,320.0,0.0,320.0,0.0,320.8,1.0954451150098632,0
5.6,322,51.0,idle,local_psutil,2026-04-02 02:10:01,5.7,5.7,-0.10000000000000053,5.666666666666667,0.05773502691885763,6.3999999999999995,1.1202678251204068,51.0,51.1,0.0,51.03333333333333,0.05773502692115997,51.120000000000005,0.13038404810638632,320.0,320.0,2.0,320.6666666666667,1.1547005383784557,320.8,1.0954451150098632,0
