timestamp,cpu_percent,ram_percent,process_count,scenario,source_tag
2026-04-02 02:29:08,99.9,72.4,350,mixed,local_psutil
2026-04-02 02:29:09,100.0,72.4,348,mixed,local_psutil
2026-04-02 02:29:10,100.0,72.4,348,mixed,local_psutil
2026-04-02 02:29:11,100.0,72.4,349,mixed,local_psutil
2026-04-02 02:29:12,99.9,65.9,349,mixed,local_psutil
2026-04-02 02:29:13,100.0,71.5,349,mixed,local_psutil
2026-04-02 02:29:14,99.8,65.3,347,mixed,local_psutil
2026-04-02 02:29:15,99.9,68.4,347,mixed,local_psutil
2026-04-02 02:29:16,100.0,64.7,349,mixed,local_psutil
2026-04-02 02:29:17,100.0,67.7,349,mixed,local_psutil
2026-04-02 02:29:18,100.0,63.2,348,mixed,local_psutil
2026-04-02 02:29:19,99.7,65.7,347,mixed,local_psutil
2026-04-02 02:29:20,99.9,68.5,347,mixed,local_psutil
2026-04-02 02:29:21,100.0,65.3,349,mixed,local_psutil
2026-04-02 02:29:22,99.9,60.2,351,mixed,local_psutil
2026-04-02 02:29:23,99.9,54.2,347,mixed,local_psutil
2026-04-02 02:29:24,100.0,54.1,347,mixed,local_psutil
2026-04-02 02:29:25,99.8,53.9,348,mixed,local_psutil
2026-04-02 02:29:26,100.0,53.7,350,mixed,local_psutil
2026-04-02 02:29:27,100.0,53.7,352,mixed,local_psutil
2026-04-02 02:29:28,100.0,53.7,348,mixed,local_psutil
2026-04-02 02:29:29,100.0,53.5,348,mixed,local_psutil
2026-04-02 02:29:30,100.0,53.5,348,mixed,local_psutil
2026-04-02 02:29:31,100.0,53.6,350,mixed,local_psutil
2026-04-02 02:29:32,100.0,53.6,350,mixed,local_psutil
2026-04-02 02:29:33,100.0,53.3,348,mixed,local_psutil
2026-04-02 02:29:34,99.8,53.3,348,mixed,local_psutil
2026-04-02 02:29:35,100.0,53.2,348,mixed,local_psutil
2026-04-02 02:29:36,99.9,53.3,350,mixed,local_psutil
2026-04-02 02:29:37,100.0,53.4,352,mixed,local_psutil
2026-04-02 02:29:38,100.0,53.4,348,mixed,local_psutil
2026-04-02 02:29:39,100.0,53.3,348,mixed,local_psutil
2026-04-02 02:29:40,100.0,53.3,348,mixed,local_psutil
2026-04-02 02:29:41,99.9,53.2,350,mixed,local_psutil
2026-04-02 02:29:42,100.0,53.2,352,mixed,local_psutil
2026-04-02 02:29:43,100.0,53.2,348,mixed,local_psutil
2026-04-02 02:29:44,100.0,53.3,348,mixed,local_psutil
2026-04-02 02:29:45,99.8,53.3,348,mixed,local_psutil
2026-04-02 02:29:46,99.7,53.3,350,mixed,local_psutil
2026-04-02 02:29:47,99.9,53.3,350,mixed,local_psutil
2026-04-02 02:29:48,100.0,53.3,349,mixed,local_psutil
2026-04-02 02:29:49,100.0,53.3,349,mixed,local_psutil
2026-04-02 02:29:50,100.0,53.3,349,mixed,local_psutil
2026-04-02 02:29:51,100.0,53.4,351,mixed,local_psutil
2026-04-02 02:29:52,99.9,53.6,351,mixed,local_psutil
2026-04-02 02:29:53,100.0,53.7,351,mixed,local_psutil
2026-04-02 02:29:54,100.0,53.7,349,mixed,local_psutil
2026-04-02 02:29:55,100.0,53.7,349,mixed,local_psutil
2026-04-02 02:29:56,100.0,53.7,351,mixed,local_psutil
2026-04-02 02:29:57,100.0,53.7,351,mixed,local_psutil
2026-04-02 02:29:58,99.7,53.7,351,mixed,local_psutil
2026-04-02 02:29:59,100.0,53.8,349,mixed,local_psutil
2026-04-02 02:30:00,99.9,53.8,349,mixed,local_psutil
2026-04-02 02:30:01,99.9,53.8,351,mixed,local_psutil
2026-04-02 02:30:02,100.0,53.8,351,mixed,local_psutil
2026-04-02 02:30:03,100.0,53.8,349,mixed,local_psutil
2026-04-02 02:30:04,100.0,53.8,349,mixed,local_psutil
2026-04-02 02:30:05,99.9,53.8,349,mixed,local_psutil
2026-04-02 02:30:06,100.0,53.8,351,mixed,local_psutil
2026-04-02 02:30:07,100.0,53.8,351,mixed,local_psutil
2026-04-02 02:30:08,99.8,53.9,349,mixed,local_psutil
2026-04-02 02:30:09,99.9,53.9,349,mixed,local_psutil
2026-04-02 02:30:10,100.0,54.0,349,mixed,local_psutil
2026-04-02 02:30:11,100.0,54.1,354,mixed,local_psutil
2026-04-02 02:30:12,99.9,54.0,351,mixed,local_psutil
2026-04-02 02:30:13,100.0,54.0,349,mixed,local_psutil
2026-04-02 02:30:14,100.0,54.0,349,mixed,local_psutil
2026-04-02 02:30:15,100.0,54.0,349,mixed,local_psutil
2026-04-02 02:30:16,100.0,54.0,351,mixed,local_psutil
2026-04-02 02:30:17,100.0,54.0,349,mixed,local_psutil
2026-04-02 02:30:18,99.9,54.0,347,mixed,local_psutil
2026-04-02 02:30:19,100.0,54.1,347,mixed,local_psutil
2026-04-02 02:30:20,100.0,54.0,347,mixed,local_psutil
2026-04-02 02:30:21,100.0,54.0,349,mixed,local_psutil
2026-04-02 02:30:22,100.0,54.1,349,mixed,local_psutil
2026-04-02 02:30:23,100.0,54.1,347,mixed,local_psutil
2026-04-02 02:30:24,100.0,54.1,347,mixed,local_psutil
2026-04-02 02:30:25,100.0,54.1,347,mixed,local_psutil
2026-04-02 02:30:26,100.0,54.1,349,mixed,local_psutil
2026-04-02 02:30:27,100.0,54.2,349,mixed,local_psutil
2026-04-02 02:30:28,99.7,54.2,350,mixed,local_psutil
2026-04-02 02:30:29,100.0,54.2,348,mixed,local_psutil
2026-04-02 02:30:30,100.0,54.2,348,mixed,local_psutil
2026-04-02 02:30:31,100.0,54.3,351,mixed,local_psutil
2026-04-02 02:30:32,100.0,54.4,351,mixed,local_psutil
2026-04-02 02:30:33,100.0,54.4,351,mixed,local_psutil
