timestamp,cpu_percent,ram_percent,process_count,scenario,source_tag
2026-04-02 02:29:11,99.9,72.4,349,idle,local_psutil
2026-04-02 02:29:12,100.0,71.3,347,idle,local_psutil
2026-04-02 02:29:13,100.0,64.6,349,idle,local_psutil
2026-04-02 02:29:14,99.8,61.8,347,idle,local_psutil
2026-04-02 02:29:15,100.0,61.4,347,idle,local_psutil
2026-04-02 02:29:16,100.0,65.6,349,idle,local_psutil
2026-04-02 02:29:17,100.0,69.0,347,idle,local_psutil
2026-04-02 02:29:18,99.8,59.0,347,idle,local_psutil
2026-04-02 02:29:19,99.9,66.7,347,idle,local_psutil
2026-04-02 02:29:20,100.0,62.0,347,idle,local_psutil
2026-04-02 02:29:21,100.0,58.2,349,idle,local_psutil
2026-04-02 02:29:22,99.9,61.4,349,idle,local_psutil
2026-04-02 02:29:23,99.9,54.2,347,idle,local_psutil
2026-04-02 02:29:24,100.0,53.9,347,idle,local_psutil
2026-04-02 02:29:25,99.8,53.9,348,idle,local_psutil
2026-04-02 02:29:26,100.0,53.7,350,idle,local_psutil
2026-04-02 02:29:27,100.0,53.7,350,idle,local_psutil
2026-04-02 02:29:28,100.0,53.6,348,idle,local_psutil
2026-04-02 02:29:29,100.0,53.5,348,idle,local_psutil
2026-04-02 02:29:30,100.0,53.5,348,idle,local_psutil
2026-04-02 02:29:31,100.0,53.6,350,idle,local_psutil
2026-04-02 02:29:32,100.0,53.5,348,idle,local_psutil
2026-04-02 02:29:33,99.8,53.3,348,idle,local_psutil
2026-04-02 02:29:34,99.9,53.2,348,idle,local_psutil
2026-04-02 02:29:35,100.0,53.3,348,idle,local_psutil
2026-04-02 02:29:36,99.9,53.4,350,idle,local_psutil
2026-04-02 02:29:37,100.0,53.4,350,idle,local_psutil
2026-04-02 02:29:38,100.0,53.5,349,idle,local_psutil
2026-04-02 02:29:39,100.0,53.3,348,idle,local_psutil
2026-04-02 02:29:40,100.0,53.2,348,idle,local_psutil
2026-04-02 02:29:41,99.9,53.2,350,idle,local_psutil
2026-04-02 02:29:42,100.0,53.3,350,idle,local_psutil
2026-04-02 02:29:43,100.0,53.3,348,idle,local_psutil
2026-04-02 02:29:44,100.0,53.3,348,idle,local_psutil
2026-04-02 02:29:45,99.5,53.3,348,idle,local_psutil
2026-04-02 02:29:46,99.9,53.4,350,idle,local_psutil
2026-04-02 02:29:47,100.0,53.3,349,idle,local_psutil
2026-04-02 02:29:48,100.0,53.3,349,idle,local_psutil
2026-04-02 02:29:49,100.0,53.2,349,idle,local_psutil
2026-04-02 02:29:50,100.0,53.3,349,idle,local_psutil
2026-04-02 02:29:51,100.0,53.4,351,idle,local_psutil
2026-04-02 02:29:52,99.9,53.6,351,idle,local_psutil
2026-04-02 02:29:53,100.0,53.7,349,idle,local_psutil
2026-04-02 02:29:54,100.0,53.7,349,idle,local_psutil
2026-04-02 02:29:55,100.0,53.7,349,idle,local_psutil
2026-04-02 02:29:56,100.0,53.7,351,idle,local_psutil
2026-04-02 02:29:57,99.7,53.7,351,idle,local_psutil
2026-04-02 02:29:58,100.0,53.7,349,idle,local_psutil
2026-04-02 02:29:59,99.9,53.8,349,idle,local_psutil
2026-04-02 02:30:00,100.0,53.8,349,idle,local_psutil
2026-04-02 02:30:01,99.9,53.8,351,idle,local_psutil
2026-04-02 02:30:02,100.0,53.7,349,idle,local_psutil
2026-04-02 02:30:03,100.0,53.8,349,idle,local_psutil
2026-04-02 02:30:04,99.9,53.8,349,idle,local_psutil
2026-04-02 02:30:05,100.0,53.8,349,idle,local_psutil
2026-04-02 02:30:06,100.0,53.8,351,idle,local_psutil
2026-04-02 02:30:07,100.0,53.8,349,idle,local_psutil
2026-04-02 02:30:08,99.8,53.9,349,idle,local_psutil
2026-04-02 02:30:09,99.9,53.9,349,idle,local_psutil
2026-04-02 02:30:10,100.0,54.0,349,idle,local_psutil
2026-04-02 02:30:11,99.9,54.0,353,idle,local_psutil
2026-04-02 02:30:12,100.0,54.0,349,idle,local_psutil
2026-04-02 02:30:13,100.0,54.0,349,idle,local_psutil
2026-04-02 02:30:14,100.0,54.0,349,idle,local_psutil
2026-04-02 02:30:15,100.0,54.0,349,idle,local_psutil
2026-04-02 02:30:16,100.0,54.0,351,idle,local_psutil
2026-04-02 02:30:17,100.0,54.0,347,idle,local_psutil
2026-04-02 02:30:18,99.9,54.0,347,idle,local_psutil
2026-04-02 02:30:19,100.0,54.1,347,idle,local_psutil
2026-04-02 02:30:20,100.0,54.0,347,idle,local_psutil
2026-04-02 02:30:21,100.0,54.1,349,idle,local_psutil
2026-04-02 02:30:22,100.0,54.1,347,idle,local_psutil
2026-04-02 02:30:23,100.0,54.1,347,idle,local_psutil
2026-04-02 02:30:24,100.0,54.1,347,idle,local_psutil
2026-04-02 02:30:25,100.0,54.1,347,idle,local_psutil
2026-04-02 02:30:26,100.0,54.1,350,idle,local_psutil
2026-04-02 02:30:27,99.7,54.2,348,idle,local_psutil
2026-04-02 02:30:28,100.0,54.2,350,idle,local_psutil
2026-04-02 02:30:29,100.0,54.2,348,idle,local_psutil
2026-04-02 02:30:30,100.0,54.3,348,idle,local_psutil
2026-04-02 02:30:31,100.0,54.3,351,idle,local_psutil
2026-04-02 02:30:32,100.0,54.4,349,idle,local_psutil
2026-04-02 02:30:33,100.0,54.4,352,idle,local_psutil
2026-04-02 02:30:34,100.0,54.4,349,idle,local_psutil
2026-04-02 02:30:35,99.9,54.4,349,idle,local_psutil
2026-04-02 02:30:36,100.0,54.4,351,idle,local_psutil
2026-04-02 02:30:37,100.0,54.5,349,idle,local_psutil
2026-04-02 02:30:38,99.9,54.5,349,idle,local_psutil
2026-04-02 02:30:39,100.0,54.5,349,idle,local_psutil
2026-04-02 02:30:40,100.0,54.4,349,idle,local_psutil
2026-04-02 02:30:41,99.9,54.4,353,idle,local_psutil
2026-04-02 02:30:42,100.0,54.4,349,idle,local_psutil
2026-04-02 02:30:43,100.0,54.5,349,idle,local_psutil
2026-04-02 02:30:44,100.0,54.5,349,idle,local_psutil
2026-04-02 02:30:45,100.0,54.3,349,idle,local_psutil
2026-04-02 02:30:46,100.0,54.4,353,idle,local_psutil
2026-04-02 02:30:47,100.0,54.4,349,idle,local_psutil
2026-04-02 02:30:48,100.0,54.3,349,idle,local_psutil
2026-04-02 02:30:49,99.8,54.5,348,idle,local_psutil
2026-04-02 02:30:50,99.8,54.5,348,idle,local_psutil
2026-04-02 02:30:51,100.0,54.5,350,idle,local_psutil
2026-04-02 02:30:52,100.0,54.5,348,idle,local_psutil
2026-04-02 02:30:53,100.0,54.5,348,idle,local_psutil
2026-04-02 02:30:54,99.8,54.4,348,idle,local_psutil
2026-04-02 02:30:55,100.0,54.4,348,idle,local_psutil
2026-04-02 02:30:56,99.8,54.4,350,idle,local_psutil
2026-04-02 02:30:57,100.0,54.5,348,idle,local_psutil
2026-04-02 02:30:58,99.9,54.6,348,idle,local_psutil
2026-04-02 02:30:59,100.0,54.8,350,idle,local_psutil
2026-04-02 02:31:00,100.0,54.8,348,idle,local_psutil
2026-04-02 02:31:01,99.9,54.9,350,idle,local_psutil
